Model,Metric,Value
Collaborative,RMSE,0.8677850070325087
Collaborative,MAE,0.6646967724161177
Collaborative,Precision,0.8084652862362972
Collaborative,Recall,0.3670676068021568
Collaborative,F1,0.5048968336978226
Hybrid,RMSE,1.0441522805882022
Hybrid,MAE,0.8741746641184049
Hybrid,Precision,0.9558823529411765
Hybrid,Recall,0.0072471847474634855
Hybrid,F1,0.014385304857806794
